Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch16.sl,SUCCESS,0.17,2224
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_ite1.sl,SUCCESS,0.02,81
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_13.sl,SUCCESS,0.13,1661
cvc4-syguscomp2019___CLIA/,./from_2018/max19.sl,SUCCESS,49.45,2477
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_2_5.sl,SUCCESS,0.02,10
cvc4-syguscomp2019___CLIA/,./from_2018/max20.sl,UNSOLVED,3600.01,n/a
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_6_5.sl,SUCCESS,0.06,416
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_polynomial1.sl,SUCCESS,0.07,2
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_6_15.sl,SUCCESS,0.06,416
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_6.sl,SUCCESS,0.04,477
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_example3.sl,SUCCESS,0.05,323
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_plane3.sl,SUCCESS,0.01,8
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max5.sl,SUCCESS,0.04,131
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_9_15.sl,SUCCESS,0.15,1175
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_11.sl,SUCCESS,0.10,1197
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max4.sl,SUCCESS,0.03,76
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_plane1.sl,SUCCESS,0.01,3
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_polynomial.sl,SUCCESS,0.05,2
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_8.sl,SUCCESS,0.06,663
cvc4-syguscomp2019___CLIA/,./from_2018/large.sl,SUCCESS,0.67,6
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max14.sl,SUCCESS,8.37,1304
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_example5.sl,UNSOLVED,0.06,n/a
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max3.sl,SUCCESS,0.02,36
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_mpg_guard1.sl,SUCCESS,0.02,24
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max7.sl,SUCCESS,0.12,286
cvc4-syguscomp2019___CLIA/,./from_2018/arraysearch17.sl,SUCCESS,0.19,2396
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_sixfuncs.sl,SUCCESS,0.03,14
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_8_5.sl,SUCCESS,0.11,878
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_4_15.sl,SUCCESS,0.03,130
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_sum_5_15.sl,SUCCESS,0.04,251
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max13.sl,SUCCESS,2.87,1117
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_12.sl,SUCCESS,0.11,1457
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_2.sl,SUCCESS,0.02,72
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_array_search_14.sl,SUCCESS,0.14,1833
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_max2.sl,SUCCESS,0.01,10
cvc4-syguscomp2019___CLIA/,./from_2018/max17.sl,SUCCESS,27.78,1962
cvc4-syguscomp2019___CLIA/,./from_2018/jmbl_fg_tenfunc2.sl,SUCCESS,0.35,3598
cvc4-syguscomp2019___CLIA/,./from_2018/diff.sl,SUCCESS,31.86,10
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max6.sl,SUCCESS,0.54,109
DryadSynth___CLIA-Track/,./from_2018/large_linear_func.sl,SUCCESS,0.50,78
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_VC22_b.sl,SUCCESS,1.08,28
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_search_5.sl,SUCCESS,0.60,559
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_array_sum_2_15.sl,SUCCESS,0.54,30
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_max15.sl,SUCCESS,0.71,634
DryadSynth___CLIA-Track/,./from_2018/jmbl_fg_mpg_ite2.sl,SUCCESS,0.55,159
