Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.14.sl,SUCCESS,0.30,33
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.10.sl,SUCCESS,0.24,137
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_88_100.sl,SUCCESS,0.77,82
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_120_10.sl,SUCCESS,0.01,1
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_25_100.sl,SUCCESS,0.46,20
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_3_1000.sl,SUCCESS,0.95,19
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_85_100.sl,SUCCESS,0.06,9
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_122_100.sl,SUCCESS,0.36,11
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_29_100.sl,SUCCESS,0.10,20
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_60_1000.sl,SUCCESS,3.58,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.12.sl,SUCCESS,0.18,83
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_107_10.sl,SUCCESS,0.10,32
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_4.10.sl,SUCCESS,0.04,16
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_6.16.sl,SUCCESS,0.09,20
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.18.sl,SUCCESS,0.26,181
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_145_100.sl,SUCCESS,0.61,219
