Solver,Solved,Fastest,Smallest,Score
DryadSynth___INV-Track/,275,161,39,1897
LoopInvGen_19.06___default/,512,442,364,4250
LoopInvGen_19.06___gplearn/,511,411,349,4137
OASIS___default/,538,20,317,3067
cvc4-syguscomp2019___v1_INV-f/,522,319,243,3810
cvc4-syguscomp2019___v1_INV-s/,539,283,260,3804
cvc4-syguscomp2019___v1_INV-su/,592,423,264,4493

